Date,Open,High,Low,Close,Adj Close,Volume
2017-06-06,739.950012,739.950012,734.000000,735.950012,690.134705,12419
2017-06-07,735.099976,739.950012,733.049988,735.349976,689.571838,7746
2017-06-08,730.000000,739.950012,730.000000,736.049988,690.228271,14658
2017-06-09,739.950012,739.950012,730.150024,732.799988,687.180725,9661
2017-06-12,738.950012,738.950012,730.000000,731.900024,686.336670,41054
2017-06-13,731.000000,737.000000,729.000000,730.099976,684.648682,31240
2017-06-14,731.950012,737.000000,729.049988,730.400024,684.930115,10077
2017-06-15,730.000000,735.000000,729.250000,731.750000,686.196045,15689
2017-06-16,729.450012,735.500000,729.450012,730.799988,685.305115,18163
2017-06-19,735.000000,736.000000,730.000000,732.450012,686.852417,18469
2017-06-20,732.549988,734.900024,730.049988,732.650024,687.039978,13430
2017-06-21,732.700012,735.000000,730.049988,732.650024,687.039978,7990
2017-06-22,734.799988,734.950012,729.700012,731.599976,686.055420,12988
2017-06-23,731.599976,734.950012,724.000000,726.099976,680.897766,12931
2017-06-27,735.000000,735.000000,720.000000,721.650024,676.724792,15895
2017-06-28,721.099976,724.900024,715.150024,718.750000,674.005371,17534
2017-06-29,734.000000,734.000000,717.000000,718.650024,673.911621,11635
2017-06-30,724.900024,724.900024,712.250000,717.049988,672.411194,13714
2017-07-03,718.000000,726.900024,716.049988,719.849976,675.036926,24038
2017-07-04,724.750000,730.000000,719.049988,728.200012,682.867065,112260
2017-07-05,723.000000,767.000000,723.000000,761.700012,714.281555,185847
2017-07-06,755.000000,762.000000,752.049988,756.450012,709.358276,101152
2017-07-07,754.849976,774.750000,752.000000,768.400024,720.564575,23749
2017-07-10,760.099976,768.500000,760.000000,760.750000,713.390747,5508
2017-07-11,761.599976,776.900024,761.049988,767.000000,719.251648,16487
2017-07-12,775.000000,775.000000,759.000000,760.400024,713.062561,26168
2017-07-13,760.500000,771.900024,760.500000,768.250000,720.423706,11751
2017-07-14,766.150024,769.950012,755.049988,761.599976,714.187744,9608
2017-07-17,755.099976,771.000000,755.099976,766.150024,718.454529,11976
2017-07-18,765.049988,769.900024,755.000000,760.700012,713.343811,15976
2017-07-19,764.400024,764.950012,755.000000,759.700012,712.406006,9110
2017-07-20,759.700012,762.700012,756.000000,760.250000,712.921814,8862
2017-07-21,759.000000,777.700012,755.000000,770.450012,722.486755,16087
2017-07-24,770.049988,778.700012,765.000000,772.900024,724.784302,18887
2017-07-25,771.000000,781.200012,770.849976,776.750000,728.394653,44474
2017-07-26,779.000000,779.000000,760.049988,761.599976,714.187744,17373
2017-07-27,761.599976,767.000000,755.049988,759.049988,711.796509,12259
2017-07-28,755.000000,769.000000,755.000000,766.000000,718.313843,9204
2017-07-31,765.000000,769.900024,756.000000,761.150024,713.765747,8898
2017-08-01,764.950012,764.950012,755.000000,758.849976,711.608887,16505
2017-08-02,758.000000,759.299988,745.000000,747.599976,701.059326,9195
2017-08-03,748.000000,750.000000,740.000000,742.349976,696.135986,7527
2017-08-04,744.950012,759.950012,740.099976,750.849976,704.106995,7050
2017-08-07,754.900024,763.000000,750.000000,758.549988,711.327698,8591
2017-08-08,755.049988,762.049988,740.000000,742.950012,696.698914,14561
2017-08-09,740.000000,741.200012,734.049988,735.250000,689.478027,10156
2017-08-10,736.000000,746.400024,733.049988,740.349976,694.260559,19359
2017-08-11,739.849976,740.299988,729.000000,731.650024,686.102356,46470
2017-08-14,731.700012,739.900024,725.049988,732.049988,690.250977,21762
2017-08-16,734.950012,744.650024,730.099976,732.750000,690.911011,11014
2017-08-17,733.000000,737.900024,730.000000,733.150024,691.288147,9221
2017-08-18,732.000000,745.000000,727.000000,740.500000,698.218445,19586
2017-08-21,740.549988,749.900024,740.000000,745.200012,702.650208,26169
2017-08-22,745.000000,752.700012,734.000000,745.000000,702.461548,13098
2017-08-23,741.250000,756.500000,740.250000,752.950012,709.957703,20342
2017-08-24,750.049988,762.000000,748.900024,757.650024,714.389343,15500
2017-08-28,755.049988,765.599976,752.000000,757.250000,714.012146,11913
2017-08-29,754.000000,769.950012,752.000000,763.700012,720.093750,11353
2017-08-30,760.049988,771.000000,760.049988,766.650024,722.875305,7712
2017-08-31,765.049988,773.900024,765.049988,768.950012,725.044067,9781
2017-09-01,773.799988,779.000000,768.000000,776.349976,732.021545,11772
2017-09-04,774.799988,791.000000,774.799988,784.849976,740.036255,29189
2017-09-05,789.799988,789.950012,780.799988,788.650024,743.619141,27145
2017-09-06,788.000000,795.000000,783.900024,790.400024,745.269348,42251
2017-09-07,788.150024,793.099976,780.000000,780.400024,735.840271,18318
2017-09-08,780.000000,804.950012,769.599976,794.049988,748.710815,16105
2017-09-11,805.000000,805.000000,771.049988,784.150024,739.376221,43073
2017-09-12,782.849976,794.700012,780.000000,780.150024,735.604553,9823
2017-09-13,776.000000,785.000000,776.000000,781.849976,737.207581,10842
2017-09-14,778.000000,785.000000,778.000000,783.200012,738.480408,9444
2017-09-15,783.200012,784.950012,776.000000,779.849976,735.321777,18722
2017-09-18,778.000000,791.000000,770.049988,782.500000,737.820557,13884
2017-09-19,782.000000,799.950012,782.000000,788.400024,743.383606,23126
2017-09-20,788.000000,788.000000,775.049988,779.750000,735.227417,8454
2017-09-21,775.049988,784.000000,775.000000,780.200012,735.651733,8080
2017-09-22,781.099976,783.000000,771.000000,776.200012,731.880066,20856
2017-09-25,771.700012,780.000000,771.700012,778.150024,733.718689,51445
2017-09-26,774.099976,780.049988,769.000000,770.900024,726.882813,17769
2017-09-27,771.700012,780.000000,767.000000,771.750000,727.684204,17169
2017-09-28,772.049988,780.000000,769.950012,773.549988,729.381409,16055
2017-09-29,766.000000,785.000000,766.000000,781.950012,737.301880,17770
2017-10-03,789.950012,789.950012,768.000000,769.900024,725.939941,11028
2017-10-04,769.000000,789.950012,765.549988,786.900024,741.969238,11668
2017-10-05,780.049988,802.799988,780.049988,793.049988,747.767944,24503
2017-10-06,790.049988,800.000000,781.000000,786.750000,741.827759,12090
2017-10-09,786.750000,790.349976,780.000000,781.900024,737.254700,10487
2017-10-10,789.900024,801.000000,781.900024,792.049988,746.825073,16066
2017-10-11,780.549988,794.950012,780.049988,784.900024,740.083496,13986
2017-10-12,780.250000,789.799988,780.250000,784.799988,739.989136,7381
2017-10-13,784.000000,795.450012,780.049988,790.250000,745.127930,11594
2017-10-16,788.900024,794.950012,786.049988,792.450012,747.202332,7314
2017-10-17,781.150024,795.000000,781.150024,785.900024,741.026306,8278
2017-10-18,789.950012,797.799988,785.049988,791.799988,746.589478,9461
2017-10-19,790.200012,798.000000,786.000000,791.349976,746.165161,2334
2017-10-23,794.000000,796.349976,790.000000,792.700012,747.437927,10335
2017-10-24,793.000000,810.849976,792.950012,809.500000,763.278687,31478
2017-10-25,806.000000,822.349976,805.000000,817.450012,770.774780,24720
2017-10-26,816.000000,822.549988,811.549988,819.099976,772.330444,13876
2017-10-27,820.000000,829.549988,812.000000,825.400024,778.270874,15333
2017-10-30,820.000000,826.299988,813.799988,818.549988,771.812012,22279
2017-10-31,811.200012,847.000000,811.150024,833.000000,785.436951,32308
2017-11-01,829.000000,839.950012,826.000000,831.250000,783.786865,17711
2017-11-02,826.099976,839.950012,821.000000,827.049988,779.826660,11137
2017-11-03,821.049988,877.849976,821.049988,851.799988,803.163513,68126
2017-11-06,852.000000,870.000000,848.000000,863.599976,814.289734,29690
2017-11-07,860.049988,860.650024,812.200012,820.150024,773.320740,23645
2017-11-08,834.950012,882.000000,831.150024,876.650024,826.594543,135325
2017-11-09,876.200012,910.000000,875.000000,904.000000,852.382996,113084
2017-11-10,891.000000,950.000000,891.000000,917.099976,864.734863,111377
2017-11-13,925.000000,930.000000,900.000000,925.900024,873.032471,49466
2017-11-14,901.049988,945.000000,901.049988,940.150024,890.315125,71477
2017-11-15,944.900024,944.900024,920.250000,939.650024,889.841675,62204
2017-11-16,935.000000,945.799988,928.000000,943.750000,893.724304,32626
2017-11-17,940.049988,947.950012,920.000000,924.000000,875.021179,13675
2017-11-20,918.500000,941.000000,918.500000,937.000000,887.332092,29036
2017-11-21,926.049988,939.200012,915.000000,917.250000,868.628967,18200
2017-11-22,916.049988,928.650024,890.000000,912.700012,864.320129,24515
2017-11-23,921.950012,924.750000,901.200012,913.450012,865.030334,28581
2017-11-24,913.049988,940.900024,907.000000,936.150024,886.527100,34837
2017-11-27,936.150024,944.000000,923.049988,940.799988,890.930542,22647
2017-11-28,921.049988,999.000000,921.049988,966.900024,915.647278,57474
2017-11-29,964.400024,1005.000000,955.000000,994.049988,941.357971,50870
2017-11-30,991.799988,1036.199951,987.650024,1022.349976,968.157837,84230
2017-12-01,1025.000000,1119.000000,1025.000000,1104.050049,1045.527222,205879
2017-12-04,1111.000000,1128.000000,1060.000000,1105.199951,1046.616333,74766
2017-12-05,1103.000000,1122.650024,1055.000000,1096.150024,1038.046021,43721
2017-12-06,1071.550049,1104.949951,1036.099976,1052.599976,996.804443,26499
2017-12-07,1052.000000,1068.000000,1023.500000,1037.250000,982.268127,34977
2017-12-08,1047.000000,1051.900024,1002.000000,1010.950012,957.362183,68012
2017-12-11,1020.000000,1021.000000,991.099976,995.349976,942.589111,23569
2017-12-12,993.299988,1012.750000,985.000000,1002.049988,948.933960,27266
2017-12-13,1001.799988,1038.500000,990.000000,995.049988,942.304871,48833
2017-12-14,1018.700012,1018.700012,980.000000,996.900024,944.056946,38088
2017-12-15,997.000000,1005.000000,990.000000,994.450012,941.736877,16534
2017-12-18,991.000000,1016.000000,965.000000,1010.049988,956.509888,37184
2017-12-19,1010.049988,1016.000000,996.049988,1010.099976,956.557190,29455
2017-12-20,1009.849976,1015.000000,1002.950012,1011.000000,957.409546,101527
2017-12-21,1019.900024,1019.900024,1004.099976,1010.200012,956.651794,34373
2017-12-22,1004.049988,1014.849976,977.000000,985.299988,933.071777,37563
2017-12-26,974.200012,995.000000,970.099976,973.599976,921.992065,22028
2017-12-27,994.950012,998.000000,980.000000,994.549988,941.831482,31464
2017-12-28,975.000000,1032.300049,975.000000,1024.000000,969.720337,41741
2017-12-29,1028.000000,1033.599976,1011.599976,1028.250000,973.745178,12813
2018-01-01,1016.000000,1090.050049,1016.000000,1073.449951,1016.549072,34607
2018-01-02,1081.000000,1146.000000,1057.050049,1105.550049,1046.947632,98515
2018-01-03,1117.199951,1153.000000,1086.000000,1137.750000,1077.440796,39455
